Sr. No.,Name of Insurance Co.,State,City,Provider Name,Category,Address,Pin Code,Tel Area,Tel No.,Fax No.,Not Servicing to,Provider
,,Pradesh,,,,,,,,,,,
1829,PSU-United India Insurance Company,Madhya,Indore,ADITYA NURSING HOME,,Nursing,"315, Usha Nagar Ext.,Ranjeet Hanuman",452009,731,2483311/5045239,4078245,,2625
,,Pradesh,,,,Home,"Temple,Indore",,,,,,
1830,PSU-United India Insurance Company,Madhya,Indore,ANAND HOSPITAL AND RESERACH,,Hospital,"7, Sindhu Nagar,Bhanwar Kuwa","Main Road,Indore",452001,731,2472121 /22/23/24,2472124,2575
,,Pradesh,,CENTRE PVT.LTD(INDORE),,,,,,,,,
1831,PSU-United India Insurance Company,Madhya,Indore,BHANDARI HOSPITAL & RESEARCH,,Hospital,"21-23 G F , B H R C Parisar,,Scheme No. 54, Opp.",452010,731,4003333 / 2552833 / 4002327,2552554,,3306
,,Pradesh,,CENTRE,,,"Meghdoot Garden,,Indore",,,,,,
1832,PSU-United India Insurance Company,Madhya,Indore,BOMBAY HOSPITAL-INDORE,,Hospital,"Ring Road,,Indore",452010,731,4077000,4266571,,2760
,,Pradesh,,,,,,,,,,,
1833,PSU-United India Insurance Company,Madhya,Indore,CENTRE FOR SIGHT (INDORE),,Hospital,"Plot No. 124, Sector-Ab,,Scheme-54,,Vijay Nagar",452001,731,4001400,4045190,,10270
,,Pradesh,,,,,,,,,,,
1834,PSU-United India Insurance Company,Madhya,Indore,CHARAK HOSPITAL PVT. LTD.,,Hospital,"Film Bhavan,Rani Sati Gate,Yeshwant .Niwas",452003,731,2548 101 / 102/ 103,2536116,,162
,,Pradesh,,,,,"Road,,Indore",,,,,,
1835,PSU-United India Insurance Company,Madhya,Indore,CITY NURSING HOME PVT. LTD.,,Nursing,"209, Jawahar Marg,Rajmohhalla,Indore",452002,731,2340666 / 2340777/2340888,2340888/2340002,,3025
,,Pradesh,,,,Home,,,,,,,
1836,PSU-United India Insurance Company,Madhya,Indore,CONVENIENT HOSPITALS LIMITED (CHL-,,Hospital,"Opp. Anoop Nagar,A.B.Road,L.I.G.Square,Indore",452008,731,"2549090,/4220142",2549095,,786
,,Pradesh,,APOLLO HOSPITALS),,,,,,,,,
1837,PSU-United India Insurance Company,Madhya,Indore,CRYSTAL LITHOTRIPSY AND UROLOGY,,Hospital,"307, Morya Arcade ,,1/2 Old Palasia , Opp. Palasia",452001,731,5067904,,,1928
,,Pradesh,,CENTRE,,,"Station ,,Old Palasia",,,,,,
1838,PSU-United India Insurance Company,Madhya,Indore,DR. HARDIA ADVANCED EYE SURGERY,,Nursing,"69, Hardia Compound,,,",452001,731,2705351 /2704423,2705351,,194
,,Pradesh,,& RESEARCH CENTRE,,Home,,,,,,,
1839 PSU-United India Insurance Company,,Madhya,Indore,GK MAX HOSPITAL,Hospital,"11 / 2, Old Palasia,,,",452001,731,40511601/4051165,4043929,CUMMINS,230
,,Pradesh,,,,,,,,,EXHAUST INDIA,
,,,,,,,,,,,"LTD,CUMMINS",
,,,,,,,,,,,INDIA,
,,,,,,,,,,,"LTD.,CUMMINS",
,,,,,,,,,,,TURBO,
,,,,,,,,,,,TECHNOLOGIES,
,,,,,,,,,,,"LIMITED,CSC INDIA",
,,,,,,,,,,,"PVT.LTD.,CUMMINS",
,,,,,,,,,,,RESEARCH &,
,,,,,,,,,,,TECHNOLOGY,
,,,,,,,,,,,(INDIA),
,,,,,,,,,,,"LTD.,CUMMINS",
1840,PSU-United India Insurance Company,Madhya,Indore,GLOBAL SNG HOSPITAL,Hospital,"16/1, South Tukoganj,,Kanchan Bag Main Road,,Nr.",452001,731,2525555-56- 57- 58- 513 944/,5041948,,1111
,,Pradesh,,,,"Samavsharan Mandir,",,,526 522,,,
1841,PSU-United India Insurance Company,Madhya,Indore,GOKULDAS HOSPITAL&RESEARCH,Hospital,"11, Dr Sarju Prasad Marg,,Indore",452001,731,2519212/18,2512584 / 2519232,,1193
,,Pradesh,,CENTRE,,,,,,,,
1842,PSU-United India Insurance Company,Madhya,Indore,LAHOTI MEDICARE PVT. LTD.,Hospital,"4/5 Old Palasia,Ravindra Nagar Indore,Indore",452017,731,2490577 / 2492621 /,5043929,,3030
,,Pradesh,,,,,,,50656161,,,
1843,PSU-United India Insurance Company,Madhya,Indore,LIFE CARE HOSPITAL(INDORE),Hospital,"2, Scheme No. 78, Part I I, P S P,,Near Pollution",452002,731,"2570600,2577739",4219900/4059913,,26441
,,Pradesh,,,,"Control Board,,Indore",,,,,,
1844,PSU-United India Insurance Company,Madhya,Indore,MAHASHABDE NETRALAYA &CHILD,Hospital,"6, Indra Gandhi Nagar,,,Kesjar Bag Road",452009,731,2471688/4268118,2472493,,35021
,,Pradesh,,CARE CENTRE,,,,,,,,
1845,PSU-United India Insurance Company,Madhya,Indore,MAYANK HOSPITAL,Hospital,"11/1, Manoramaganj,,Indore",452001,731,2494786/2449180/2013036,2491600/ 39167348,,4557
,,Pradesh,,,,,,,,,,
1846,PSU-United India Insurance Company,Madhya,Indore,MEDI SQUARE SUPER SPECIALITY,Hospital,"9 Vishnupuri Colony,Near Bhanwarkua Square,,A. B.",452001,731,4004111/ 4,4004114,,66150
,,Pradesh,,HOSPITAL,,"Road,",,,,,,
1847,PSU-United India Insurance Company,Madhya,Indore,MOHAK HI-TECH SPECIALITY HOSPITAL,Hospital,"Saims Compus,,Indore-Ujjain Highway,Mr-10 Crossing",452010,731,4321700- 30 lines,4231786,,83557
,,Pradesh,,,,Teh Sanwer,,,,,,
1848,PSU-United India Insurance Company,Madhya,Indore,NEEMA HOSP. PVT LTD.(UNIQUE,Hospital,"715/716 Vijay Syndicate,Opp. Dashahra Maidan,",452009,731,2799881//2/3/4,2799886,,1494
,,Pradesh,,SUPER SPECIALITY CENTER ),,"Annapurna Road.,Indore",,,,,,
1849,PSU-United India Insurance Company,Madhya,Indore,NOBLE HOSPITAL & INTENSIVE CARE,Hospital,"28/1,South Tukoganj,(Opp. Jal Auditorium),,Indore",452001,731,2524649/50/51,2514411,,2001
,,Pradesh,,UNIT,,,,,,,,
1850,PSU-United India Insurance Company,Madhya,Indore,R.L.B HOSPITAL & RESEARCH CENTRE,Hospital,"20-A, Scheme No. 71,,Sector -C, Ring Road,Indore",452002,731,"2480236, 2481236","5056270, 271",,25390
,,Pradesh,,,,,,,,,,
1851,PSU-United India Insurance Company,Madhya,Indore,RAJAS EYE & RETINA RESEARCH,Hospital,"152, Kanchanbag,,Opp, Airtel Office,Indore",452018,731,2511333/2525333,2512333,CUMMINS,47612
,,Pradesh,,CENTRE - INDORE,,,,,,,TECHNOLOGIES,
1852,PSU-United India Insurance Company,Madhya,Indore,RAJSHREE HOSPITAL& RESEARCH,Hospital,"Scheme 74 C,,Vijar Nagar,,",452010,731,2445566/2445515,2445544,,80186
,,Pradesh,,CENTRE,,,,,,,,
1853,PSU-United India Insurance Company,Madhya,Indore,ROHIT EYE HOSPITAL & CHILD CARE,Hospital,"202, Saphire House, 9, Sneh Nagar,Main Road,Near",452001,731,2460911/ 4093919,2468040,,2593
,,Pradesh,,CENTRE(NDORE),,"Lotus Electronic Showroom,,Indore",,,,,,
1854,PSU-United India Insurance Company,Madhya,Indore,SALUJA EYE CARE CENTER,Hospital,"Lg - 3 & 38, Bcm Heights,A5,Pu4,Sch.54, Bombay",452010,731,2572020,4064040,,55437
,,Pradesh,,,,"Hospital,Link Road",,,,,,
1855,PSU-United India Insurance Company,Madhya,Indore,SHAKUNTALADEVI HOSPITAL &,Hospital,"442-443, Goyal Nagar,Ish Kripa Road, Near Bengali",452018,731,4035401/403/4035196,4038966/2594378,,1547
,,Pradesh,,RESEARCH CENTRE,,"Chouraha, 3 To 4 Kms From Raliway Station,Indore",,,,,,
1856,PSU-United India Insurance Company,Madhya,Indore,SHREEPAD HOSPITAL & SURGICAL,Hospital,"1,A, Swastik Nagar,Mog Lines,Indore",452002,731,2788988 / 2380866,,,3055
,,Pradesh,,CENTRE,,,,,,,,
1857,PSU-United India Insurance Company,Madhya,Indore,SURAJ VISION AND DENTAL CENTRE,Hospital,"G-117,118 Yashwant Plaza,,Near Railway",452001,731,4087880 / 2522988-89,2522988,,57391
,,Pradesh,,,,"Station,Indore",,,,,,
1858,PSU-United India Insurance Company,Madhya,Indore,VARMA UNION HOSPITAL,Hospital,"120, Dhar Road,Opposite Kastur Cinema,",452002,731,2380609 / 5022000,NA,,2496
,,Pradesh,,,,,,,,,,
1859,PSU-United India Insurance Company,Madhya,Indore,VASAN EYE CARE HOSPITAL(INDORE),Hospital,"19, Diamond Colony Road,,Zanzirwala Square,Near",452001,731,0731-3989000,3989000,,84368
,,Pradesh,,,,"Agarwal Stores,,",,,,,,
1860,PSU-United India Insurance Company,Madhya,Indore,VEDANT HOSPITAL(VEDANT MEDICARE,Hospital,"321,Tower Square,,Bhawarkuwa Main Road",452001,731,6636464,6636413,,86843
,,Pradesh,,PVT.LTD),,,,,,,,
1861,PSU-United India Insurance Company,Madhya,Indore,VISION CENTRE,Hospital,"102, Silver Sanchora Castle,,Opp. Hotel Pallavi,",452001,731,2519922/2529921 / 5046979,4046979,,32814
,,Pradesh,,,,"Behind Modi Petrol Pump, R N T Marg,,Indore",,,,,,
1862,PSU-United India Insurance Company,Madhya,Jabalpur,AKSHAY MATERNITY & NURSING HOME,Nursing,"Near Hathilal Railway Crossing,,Gorakhpur,,Jabalpur",482001,761,2401883/9827067247/266788,2490194,,4210
,,Pradesh,,,Home,,,,1,,,
1863,PSU-United India Insurance Company,Madhya,Jabalpur,AYUSHMAN HOSPITAL & RESEARCH,Hospital,"Near Russel Chowk,,Jabalpur,,Near Jyoti Cinema,",482002,761,504330/500271/2402272/249,,,1738
,,Pradesh,,INSTITUTE,,,,,235,,,
1864,PSU-United India Insurance Company,Madhya,Jabalpur,BHANDARI POLYCLINIC PVT. LTD.(DR.,Hospital,"659,Napier Tower,Near Vaibhav Talkies, Near Payal",482001,761,2400258/2403333,4037212,,1737
,,Pradesh,,C.R. BHANDARI MEMORIAL HOSPITAL),,"Talkies,Jabalpur",,,,,,
1865,PSU-United India Insurance Company,Madhya,Jabalpur,DUBE SURGICAL AND DENTAL,Hospital,"Ghamapur Chowk ,,Near High Court,Jabalpur",482001,761,2622909,0,,56028
,,Pradesh,,HOSPITAL,,,,,,,,
1866,PSU-United India Insurance Company,Madhya,Jabalpur,J. K. HOSPITAL,Hospital,"2006, Wright Town, 2nd Lane,Behind Bus",482002,761,2407334 / 2314339 / 2403142,4006334,,3424
,,Pradesh,,,,"Stand,,Jabalpur",,,,,,
1867,PSU-United India Insurance Company,Madhya,Jabalpur,JABALPUR HOSPITAL & RESEARCH,Hospital,"Russel Crassing,,Napier Town,Jabalpur",482002,761,2450761,4036343,,256
,,Pradesh,,CENTRE,,,,,,,,
1868 PSU-United India Insurance Company,,Madhya,Jabalpur,JAMDAR HOSPITAL PVT LTD,,Hospital,"1480,Wright Town,,Gole Bazar,Jabalpur",482002,761,2410333 / 2412333,4006933,,2451
,,Pradesh,,,,,,,,,,,
1869,PSU-United India Insurance Company,Madhya,Jabalpur,MADAN MAHAL HOSPITAL,,Hospital,"Madan Mahal Hospital Prem Nagar,Nagpur Road,",482001,761,2426032 /2424083,NA,,1762
,,Pradesh,,,,,"Near Madan Mahalstation On Nagpur Road .,Jabalpur",,,,,,
1870,PSU-United India Insurance Company,Madhya,Jabalpur,MAHAKOSHAL HOSPITAL PVT.LTD.,,Hospital,"Opposite Gate No.3,,Wright Town Stadium,Jabalpur",482002,761,2401909/ 2610480,4063438,,2639
,,Pradesh,,,,,,,,,,,
1871,PSU-United India Insurance Company,Madhya,Jabalpur,MARBLE CITY HOSPITAL & RESEARCH,,Hospital,"21, North Civil Lines,Near Iind Bridge, Neraly 2 Kms",482001,761,2628032 / 2692745,4045454,,1740
,,Pradesh,,CENTRE,,,Form Raliway Station And Opposite To Hotel,,,,,,
,,,,,,,"B,Jabalpur",,,,,,
1872,PSU-United India Insurance Company,Madhya,Jabalpur,METRO HOSPITAL & CANCER,,Hospital,"Kuchaini Parisar,Damoh Naka,Near Shetriya Bus",482002,761,2641661/2641662/1006733,2641662,,64026
,,Pradesh,,RESEARCH CENTER,,,"Stand,Jabalpur",,,,,,
1873,PSU-United India Insurance Company,Madhya,Jabalpur,MOHANLAL HARGOVINDDAS PUBLIC,,Hospital,"440 / 1, Wright Town,,Near Girls College,,Jabalpur",482001,761,2401551,2641662,,41591
,,Pradesh,,CHARITABLE TRUST HOSPITAL,,,,,,,,,
1874,PSU-United India Insurance Company,Madhya,Jabalpur,SHISHU MANGAL HOSPITAL,,Hospital,"1441,Wright Town,,Satya Ashok Hotel Road,,Jabalpur",482002,761,"2402183,4004205",4015999,,53961
,,Pradesh,,,,,,,,,,,
1875,PSU-United India Insurance Company,Madhya,Jabalpur,SUVIDHA POLYCLINIC & RESEARCH,,Hospital,"230 Mdan Mahal,,Near Chhoti Line Pathak,,Nagrpur",482002,761,3292679/ 2424051,2425697,,39670
,,Pradesh,,CENTRE PVT. LTD,,,"Road,",,,,,,
1876,PSU-United India Insurance Company,Madhya,Jabalpur,SWASTIK MULTISPECIALIST HOSPITAL,,Hospital,"Iti Raod, Deen Dayal Chowk,,Vijay Nagar.,",482002,761,2640638/2640639,,,13260
,,Pradesh,,& RESEARCH CENTRE,,,,,,,,,
1877,PSU-United India Insurance Company,Madhya,Jabalpur,VASAN EYE CARE,HOSPITAL(JABLPUR),Hospital,"No. 811 Napier Town,,Near Jabalpur Hospital,",482004,761,3989000,2451222,,87014
,,Pradesh,,,,,"Bhanwartal Garden,,",,,,,,
1878,PSU-United India Insurance Company,Madhya,Katni,G.G NURSING HOME,,Nursing,"Madan Mohan Choubey Ward,,N. H. 7, Jabalpur",483501,7622,229250/ 220140,0,,64012
,,Pradesh,,,,Home,"Road,,Bargawan",,,,,,
1879,PSU-United India Insurance Company,Madhya,Katni,GUPTA NURSING HOME,(KATNI),Nursing,"A - 19, New A C C Colony,,Madhavnagar,Katni",483504,7622,227365,227365,,29580
,,Pradesh,,,,Home,,,,,,,
1880,PSU-United India Insurance Company,Madhya,Katni,MOHANLALGUPTA MEMORIAL (M. G. M.),,Hospital,"Opp. Forester Playground,,Kachari Chowk,,Katni",483501,7622,405070 / 71 / 72 / 73,405074,,31412
,,Pradesh,,HOSPITAL & RESEARCH CENTRE,,,,,,,,,
1881,PSU-United India Insurance Company,Madhya,Katni,SAXENA HOSPITAL & RESEARCH,,Hospital,"Durga Chikitsalaya, L I G A/2,,Housing Board",483501,7622,224043,224643,,4749
,,Pradesh,,INSTITUTE,,,"Colony,,Shantinagar",,,,,,
1882,PSU-United India Insurance Company,Madhya,Khargone,SUBHISHI HOSPITAL PVT.LTD,,Hospital,"Gowridham ,,Diversion Road,Khargone",451001,7282,"232786 , 231600",234786,,2669
,,Pradesh,,,,,,,,,,,
1883,PSU-United India Insurance Company,Madhya,Mandideep,AROGYA HOSPITAL,,Hospital,"National Hishway 12,,Above Central Bank Of",462046,7480,233333/501100,2469300,,2520
,,Pradesh,,,,,"India,Dist. Raisen,Mandideep",,,,,,
1884,PSU-United India Insurance Company,Madhya,Mhow,GETWELL HOSPITAL(MHOW),,Hospital,"147, A.B..Road,,Mhow,Mhow",453441,7324,273568 / 275300,273291,,1107
,,Pradesh,,,,,,,,,,,
1885,PSU-United India Insurance Company,Madhya,Mhow,PRASHANTI HOSPITAL,,Hospital,"124, Simrole Road,,,Mhow",453441,7324,272221 / 275121,273656,,1099
,,Pradesh,,,,,,,,,,,
1886,PSU-United India Insurance Company,Madhya,Neemach,CHAUDHARY NURSING HOME,,Nursing,"Mehnot Nagar,,Bihar Bag,,Neemcuh",458441,7423,221978,0,,29435
,,Pradesh,,,,Home,,,,,,,
1887,PSU-United India Insurance Company,Madhya,Pithampur,SANJEEVANI HOSPITAL & RESEARCH,,Hospital,"Manwani Colony, Near Saini Sweets,,Mhow Neemuch",454775,7292,253040,,,81561
,,Pradesh,,CENTRE,,,"Road,",,,,,,
1888,PSU-United India Insurance Company,Madhya,Ratlam,AGRAWAL NURSING HOME,,Nursing,"103, M. D. Marg,,Dhan Mandi,,Ratlam",457001,7412,36837 /35956/270325,NA,,101
,,Pradesh,,,,Home,,,,,,,
1889,PSU-United India Insurance Company,Madhya,Rewa,CHIRAYU HOSPITAL & RESEARCH,,Hospital,"Tanse Complex, Above Lic Building, Office",486001,7662,40551 / 406723,0,,82438
,,Pradesh,,CENTRE,,,"No.1,,Rajeev Ghandhi State,,Sirmour Chauraha,",,,,,,
1890,PSU-United India Insurance Company,Madhya,Sagar,SAGAR HEART CARE CENTRE,,Nursing,"Opp. Fish - Office,,Bus Stand, District Hospital",470001,7582,23070/24650 / 24199,,,396
,,Pradesh,,,,Home,"Road,,Sagar",,,,,,
1891,PSU-United India Insurance Company,Madhya,Satna,NAHAR NURSING HOME (SATNA),,Nursing,"Nr Hotel Sawara,Near Cma School,,Rewa Road",485001,7672,403729,403728,,44878
,,Pradesh,,,,Home,,,,,,,
1892,PSU-United India Insurance Company,Madhya,Satna,SHRI SADGURU SEVA SANGH TRUST,,Hospital,"Jankikund Chitrakoot,,,",210204,5198,224432,,,83561
,,Pradesh,,,,,,,,,,,
1893,PSU-United India Insurance Company,Madhya,Ujjain,J,K NURSING HOME (UJJAIN),Nursing,"4-5, Sant Nagar, Sindhi Colony Sqr,,Sanwer Road,",456010,734,2513735,2520824,,74241
,,Pradesh,,,,Home,"After Teen Batti Chowraha,Sidhi Colomy,Chowraha",,,,,,
1894,PSU-United India Insurance Company,Madhya,Ujjain,RADIANT EYE HOSPITAL,,Hospital,"23/4 Bhoj Marg, Freeganj,,,",456010,734,2510033,4090033,,12168
,,Pradesh,,,,,,,,,,,
1895,PSU-United India Insurance Company,Madhya,Ujjain,RAKESH AGRAWAL NURSING HOME,,Nursing,"Alakh Dhamnagar,,,Gordhandham",456010,734,2514911,2511556,,379
,,Pradesh,,,,Home,,,,,,,
1896,PSU-United India Insurance Company,Maharashtr,Ahmednag,AKSHAY CHILDREN'S HOSPITAL &,,Hospital,"Akshay, Balikashram Road,,Near Cosmic",414003,241,6957309/,2325739,2325739,510
,,a,ar,MATERNITY HOME,,,"Society,,Ahmednagar",,,,,,
1897,PSU-United India Insurance Company,Maharashtr,Ahmednag,ANAND RISHIJI HOSPITAL,,Hospital,"Plot No. 124,,Anand Rishiji Marg,,Ahmednagar",414001,241,2320473 /4/5/6,2359095,,3881
,,a,ar,,,,,,,,,,
1898,PSU-United India Insurance Company,Maharashtr,Ahmednag,BAGAL NURSING HOME,,Nursing,"New Viraj Colony,,,Near Tarakpur Bus Stand",414003,241,2323211,,,51089
,,a,ar,,,Home,,,,,,,
1899,PSU-United India Insurance Company,Maharashtr,Ahmednag,BHAIRAWNATH HOSPITAL,,Hospital,"Nagpur M.I.D.C. Nagar,,,Manmad Road,",414001,241,2777481,0,,44338
,,a,ar,,,,,,,,,,
1900,PSU-United India Insurance Company,Maharashtr,Ahmednag,BOMBAY NURSING HOME &,,Nursing,"Mukundnagar,,Aurangabad Road,Ahmednagar",414001,241,3297604/5600004,,,151
,,a,ar,POLYCLINIC,,Home,,,,,,,
1901 PSU-United India Insurance Company,,Maharashtr,Ahmednag,DAULE ACCIDENT & MATERNITY HOME,,Hospital,"Nagar Manmad Road,,Near Hotel Panchshil,,Savedi",414003,241,2424988 / 242060,2421206/ 2422763,,31652
,,a,ar,,,,,,,,,,
1902,PSU-United India Insurance Company,Maharashtr,Ahmednag,DESHPANDE HOSPITAL,,Hospital,"Patwardhan Chowk,,Anandi Bazar,,Ahmednagar",414001,241,2341012 / 2345698/ 2418651,2329321,,3572
,,a,ar,,,,,,,,,,
1903,PSU-United India Insurance Company,Maharashtr,Ahmednag,DR TAMBOLI BAL RUGNALAYA,,Hospital,"3783,,Ghumare Lane,,Near Congress Committee,",414001,241,2345840/,2345840,LARSEN & TOUBRO,26530
,,a,ar,,,,,,,,,"LIMITED,",
1904,PSU-United India Insurance Company,Maharashtr,Ahmednag,DR. BAKUL PALWE ACIDENT &,,Hospital,"28, Shriram Chowk,,Vasant Tekadi, Pipeline",414001,241,2425351,2425351,,52110
,,a,ar,SURGICAL HOSPITAL,,,"Road,,Savedi,",,,,,,
1905,PSU-United India Insurance Company,Maharashtr,Ahmednag,DR. BHIDE NURSING & MATERNITY,,Nursing,"Vaiduvadi Road,,Near Savedi Naka,,Savedi",414003,241,2425427 / 2424016,NA,,35356
,,a,ar,HOME,,Home,,,,,,,
1906,PSU-United India Insurance Company,Maharashtr,Ahmednag,DR. GORE EYE HOSPITAL,,Hospital,"Rainbo House, Opp.","Dr. Deepak Hospital,,Near",413102,241,2422211,,85056
,,a,ar,,,,"Zhopdi Canteen,,Savedi Road",,,,,,
1907,PSU-United India Insurance Company,Maharashtr,Ahmednag,DR. KHALKAR HOSPITAL,,Hospital,"Plot No 16 Opp Mca Ground Sattha Colony,,,Station",414001,241,2452395 / 2342719,2450700,,86726
,,a,ar,,,,Road,,,,,,
1908,PSU-United India Insurance Company,Maharashtr,Ahmednag,DR. TAMBE HOSPITAL,,Hospital,"New Akola Road,,Near Bus Station,Sangamner",422605,2425,227295/,227296,227294,3531
,,a,ar,,,,,,,,,,
1909,PSU-United India Insurance Company,Maharashtr,Ahmednag,DR.ITHAPE HOSPITAL,,Hospital,"New Nagar Road, Sangamner,,Tajane",422605,2425,227215 / 225014,227490,,2535
,,a,ar,,,,"Mala,,Sangamner",,,,,,
1910,PSU-United India Insurance Company,Maharashtr,Ahmednag,GAJANAN HOSPITAL(AHMEDNAGAR),,Hospital,"Plot No.8 Sarvodaya Colony,Satbhai Mala,",414001,241,2325425,2325424,,70626
,,a,ar,,,,,,,,,,
1911,PSU-United India Insurance Company,Maharashtr,Ahmednag,GALAXY HOSPITAL,,Hospital,"Behimd Zapdi Canteen,,Savedi Road,,Nagar Road",414003,241,2424229,0,,86916
,,a,ar,,,,,,,,,,
1912,PSU-United India Insurance Company,Maharashtr,Ahmednag,KAPSE EYE CLINIC,,Hospital,"West To District Court,,Court Galli,,Ahmednagar",414001,241,2353515,,,10027
,,a,ar,,,,,,,,,,
1913,PSU-United India Insurance Company,Maharashtr,Ahmednag,KULKARNI ENT & MATERNITY HOSPITAL,,Hospital,"Plot No. 2 & 3,,Morya Residency, Pipe Line Road,",414003,241,2429622,,,52644
,,a,ar,,,,"Savedi,Near Morya Sanskrutil Kendra",,,,,,
1914,PSU-United India Insurance Company,Maharashtr,Ahmednag,NAIK HOSPITAL (NAIK PEADIATRIC,,Nursing,"Near Hotel Parichay,,By The Side Of Savedi Gaon",414003,241,2429898,2429898,,59128
,,a,ar,SURGERY & ENT HOSPITAL),,Home,"Entrance,,Nagar Manmad Road,",,,,,,
1915,PSU-United India Insurance Company,Maharashtr,Ahmednag,NAMRATA GENERAL HOSPITAL AND,,Hospital,"Opp. I T I,,Burudgaon Road,,Ahmednagar",414001,241,2324719 / 2321509,2324719,,4621
,,a,ar,MATERNITY HOME,,,,,,,,,
1916,PSU-United India Insurance Company,Maharashtr,Ahmednag,NISAR HOSPITAL AND MATERNITY,,Hospital,"Civil Hudco,,Savedi Road, Ahmednagar,Ahmednagar",414003,241,2429650 / 2422582,2429802,,2623
,,a,ar,HOME,,,,,,,,,
1917,PSU-United India Insurance Company,Maharashtr,Ahmednag,NOBLE HOSPITAL & RESEARCH,,Hospital,"Premdan Chowk,,Nagar Shirdi Road,,Ahmednagar",414003,241,2421290 / 91,2421913 / 2422820,,62547
,,a,ar,CENTRE,,,,,,,,,
1918,PSU-United India Insurance Company,Maharashtr,Ahmednag,PRANAV HOSPITAL & MATERNITY,,Hospital,"63, Renuka Nagar,,Kedgaon,,Devi Mandir,",414005,241,2552407,,,35674
,,a,ar,HOME,,,,,,,,,
1919,PSU-United India Insurance Company,Maharashtr,Ahmednag,SUNDER NETRALAYA,,Hospital,"Chaupti Karanja,,Delhi Gate",414001,241,2345499,2345499,,28122
,,a,ar,,,,,,,,,,
1920,PSU-United India Insurance Company,Maharashtr,Ahmednag,SWASTHYA HOSPITAL MEDICAL,,Hospital,"Laltaki Road ,,Opp Hotel Oberoi, Anna Bhau Sathe",414001,241,2344301,2341311,,79840
,,a,ar,RESEARCH CENTER,,,"Chowk,,",,,,,,
1921,PSU-United India Insurance Company,Maharashtr,Ahmednag,TARDE,HOSPITAL.,Hospital,"Behind Hotel Premdan,,Near Sahar Sahakari",414003,241,2419292/2329899,2431219,,33736
,,a,ar,,,,"Bank,,Savdi Road,",,,,,,
1922,PSU-United India Insurance Company,Maharashtr,Ahmednag,VAHADNE HOSPITAL,,Hospital,"Laltaki Road,,,",414001,241,2430411/ 2430421,2430411,,76997
,,a,ar,,,,,,,,,,
1923,PSU-United India Insurance Company,Maharashtr,Ahmednag,WAGH NURSING HOME,,Nursing,"Burudnagar Road,,Back Side Of Vaibhav",414001,241,2452242,,,68267
,,a,ar,,,Home,"Hotel,,Chankya Chowk",,,,,,
1924,PSU-United India Insurance Company,Maharashtr,Ahmednag,YASH CLINIC,,Hospital,"Delhi Gate, Chaupati Karanja,,Athashree Complex,,Nr.",414001,241,2328575,0,,83661
,,a,ar,,,,Sony T.V. Show Room,,,,,,
1925,PSU-United India Insurance Company,Maharashtr,Ahmednag,ZAWARE MULTISPECIALITY HOSPITAL,,Hospital,"Juna Bazar, Opp. Bombay Bakery,,,Near Bangal",414001,241,2322138,2322097,,70145
,,a,ar,,,,"Chauk,",,,,,,
1926,PSU-United India Insurance Company,Maharashtr,Ahmednag,ZENDE HOSPITAL,,Hospital,"D.C.P. Chowk To Tarakpur Bus Stand Road,,Hotel",414001,241,2430326,0,,37717
,,a,ar,,,,"Thappers Innnear,,Near Tarakpur Bus Stand",,,,,,
1927,PSU-United India Insurance Company,Maharashtr,Akola,ICON HOSPITAL(AKOLA),,Hospital,"Kedia Plot,,Umri Road,,Akola,",444005,724,2.41126E+15,,,85180
,,a,,,,,,,,,,,
1928,PSU-United India Insurance Company,Maharashtr,Akola,VIDHARBHA HOSPITAL,,Hospital,"2 Nd Floor,""Shakambari Plaza"",,Nr. Ramlata Business",444001,724,2400700 / 2400600/2400300,2400700/2400300,,3359
,,a,,,,,"Centre, N H No. 6,,Murtizapur Road",,,,,,
1929,PSU-United India Insurance Company,Maharashtr,Amaravati,ADITYA CLINIC (AMRAVATI),,Nursing,"Rajkamal Square,,,Amravati",444601,721,5614016,NA,,2696
,,a,,,,Home,,,,,,,
1930,PSU-United India Insurance Company,Maharashtr,Amaravati,BAKHTAR HOSPITAL,,Hospital,"Near Ice Factory,,Rajapeth,,Amaravati",444606,721,2677466 /2678062 /277266,,,129
,,a,,,,,,,,/2278227,,,
1931,PSU-United India Insurance Company,Maharashtr,Amaravati,BARDIA HOSPITAL,,Hospital,"Opp. S.T. Stand,Paratwada,Amravati",444805,7223,220355,220307,,2606
,,a,,,,,,,,,,,
1932,PSU-United India Insurance Company,Maharashtr,Amaravati,BELOKAR HOSPITAL(AMARAVATI),,Hospital,"Vijay Colony Nr.,Amravati,Rukhmini Nagar,",444606,721,2563495/2570777,2570777,,79448
,,a,,,,,,,,,,,
1933,PSU-United India Insurance Company,Maharashtr,Amaravati,DR. VIJAY AGARWAL EYE HOSPITAL,,Hospital,"Opp Agarwals Petrol Pump,,Morshi Road, Near Sarkar",444601,721,660620 / 573468,2573692,,1938
,,a,,,,,"Bhavan,Amravati",,,,,,
1934,PSU-United India Insurance Company,Maharashtr,Amaravati,GALAXY HOSPITAL & APEX CRITICAL,,Hospital,"Kelhatkar Mangal,,Karyalay Road, Rajpeth,,Nr. Gupta",444605,721,2566856,2566853,,86958
,,a,,CARE,,,Bhavan,,,,,,
